"Country","Original Budget","Available Budget","Actual Expenditures","Carryover Budget","Expenditures to Date","Percentage Used","Comments","Comments","Year","Parent Category","Category"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Delivery"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Delivery"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Delivery"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Delivery"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Delivery"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Delivery"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Delivery"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Development"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Development"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Development"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Development"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Development"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Development"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Development"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Other (Please Specify) - Edu Material"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Other (Please Specify) - Edu Material"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Other (Please Specify) - Edu Material"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Other (Please Specify) - Edu Material"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Other (Please Specify) - Edu Material"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Other (Please Specify) - Edu Material"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Other (Please Specify) - Edu Material"
"Global","1055.00","1055.00","1055.00","0.00","1055.00","100.00","","","2019","Other","Other (Please Specify)"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Other","Other (Please Specify)"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Other","Other (Please Specify)"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Other","Other (Please Specify)"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Other","Other (Please Specify)"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Other","Other (Please Specify)"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Other","Other (Please Specify)"
"Global","94374.00","94374.00","94374.00","0.00","94374.00","100.00","","Realignment to year 3 due to La Caixa and Turkey","2019","Payroll","Direct Program / Project Staff Salaries"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Payroll","Direct Program / Project Staff Salaries"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Payroll","Direct Program / Project Staff Salaries"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Payroll","Direct Program / Project Staff Salaries"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Payroll","Direct Program / Project Staff Salaries"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Payroll","Direct Program / Project Staff Salaries"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Payroll","Direct Program / Project Staff Salaries"
"Global","13782.00","13782.00","13782.00","0.00","13782.00","100.00","","","2019","Program Delivery","Indirect Operational Costs"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Program Delivery","Indirect Operational Costs"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Program Delivery","Indirect Operational Costs"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Program Delivery","Indirect Operational Costs"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Program Delivery","Indirect Operational Costs"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Program Delivery","Indirect Operational Costs"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Program Delivery","Indirect Operational Costs"
"Global","4382.00","4382.00","4382.00","0.00","4382.00","100.00","","","2019","Program Delivery","PMO / Oversight Costs"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Program Delivery","PMO / Oversight Costs"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Program Delivery","PMO / Oversight Costs"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Program Delivery","PMO / Oversight Costs"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Program Delivery","PMO / Oversight Costs"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Program Delivery","PMO / Oversight Costs"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Program Delivery","PMO / Oversight Costs"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Digital technology(analytics, mobile, social, cloud, robotics, AI, IoT)"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Digital technology(analytics, mobile, social, cloud, robotics, AI, IoT)"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Digital technology(analytics, mobile, social, cloud, robotics, AI, IoT)"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Digital technology(analytics, mobile, social, cloud, robotics, AI, IoT)"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Digital technology(analytics, mobile, social, cloud, robotics, AI, IoT)"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Digital technology(analytics, mobile, social, cloud, robotics, AI, IoT)"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Digital technology(analytics, mobile, social, cloud, robotics, AI, IoT)"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Hardware/Software"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Hardware/Software"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Hardware/Software"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Hardware/Software"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Hardware/Software"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Hardware/Software"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Hardware/Software"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","LMS and Other Digital Learning Tools/Devices"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","LMS and Other Digital Learning Tools/Devices"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","LMS and Other Digital Learning Tools/Devices"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","LMS and Other Digital Learning Tools/Devices"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","LMS and Other Digital Learning Tools/Devices"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","LMS and Other Digital Learning Tools/Devices"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","LMS and Other Digital Learning Tools/Devices"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Other (Please Specify) - Technology"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Other (Please Specify) - Technology"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Other (Please Specify) - Technology"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Other (Please Specify) - Technology"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Other (Please Specify) - Technology"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Other (Please Specify) - Technology"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Other (Please Specify) - Technology"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Telecom"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Telecom"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Telecom"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Telecom"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Telecom"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Telecom"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Technology","Telecom"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Third Party Services","Implementation Partners"
"Morocco","166667.00","166667.00","166667.00","0.00","166667.00","100.00","","Assignment from Turkey","2019","Third Party Services","Implementation Partners"
"Saudi Arabia","80000.00","80000.00","80000.00","0.00","80000.00","100.00","","","2019","Third Party Services","Implementation Partners"
"Spain","702523.00","702523.00","702523.00","0.00","702523.00","100.00","","La Caixa and Turkey assignmet to FSG","2019","Third Party Services","Implementation Partners"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","Disbursement made in Year 2","2019","Third Party Services","Implementation Partners"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Third Party Services","Implementation Partners"
"United Arab Emirates","80000.00","80000.00","80000.00","0.00","80000.00","100.00","","","2019","Third Party Services","Implementation Partners"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Third Party Services","Other (Please Specify) - Third Party"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Third Party Services","Other (Please Specify) - Third Party"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Third Party Services","Other (Please Specify) - Third Party"
"Spain","16745.00","16745.00","16745.00","0.00","16745.00","100.00","","Last invoice to be paid in Year 2","2019","Third Party Services","Other (Please Specify) - Third Party"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Third Party Services","Other (Please Specify) - Third Party"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Third Party Services","Other (Please Specify) - Third Party"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Third Party Services","Other (Please Specify) - Third Party"
"Global","3260.00","3260.00","3260.00","0.00","3260.00","100.00","","Default to be compensated in Year 2","2019","Third Party Services","Vendors"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Third Party Services","Vendors"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Third Party Services","Vendors"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Third Party Services","Vendors"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Third Party Services","Vendors"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Third Party Services","Vendors"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Third Party Services","Vendors"
"Global","11779.00","11779.00","11779.00","0.00","11779.00","100.00","","Excess to be compensated in Year 2","2019","Travel","Global Travel"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Travel","Global Travel"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Travel","Global Travel"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Travel","Global Travel"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Travel","Global Travel"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Travel","Global Travel"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Travel","Global Travel"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Travel","Local Travel"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Travel","Local Travel"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Travel","Local Travel"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Travel","Local Travel"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Travel","Local Travel"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Travel","Local Travel"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Travel","Local Travel"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Travel","Regional Travel"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Travel","Regional Travel"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Travel","Regional Travel"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Travel","Regional Travel"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Travel","Regional Travel"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Travel","Regional Travel"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Travel","Regional Travel"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Educational Materials","Content Delivery"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Educational Materials","Content Delivery"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Educational Materials","Content Delivery"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Educational Materials","Content Delivery"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Educational Materials","Content Delivery"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Educational Materials","Content Delivery"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Educational Materials","Content Delivery"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Educational Materials","Content Development"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Educational Materials","Content Development"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Educational Materials","Content Development"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Educational Materials","Content Development"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Educational Materials","Content Development"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Educational Materials","Content Development"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Educational Materials","Content Development"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Educational Materials","Other (Please Specify) - Edu Material"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Educational Materials","Other (Please Specify) - Edu Material"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Educational Materials","Other (Please Specify) - Edu Material"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Educational Materials","Other (Please Specify) - Edu Material"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Educational Materials","Other (Please Specify) - Edu Material"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Educational Materials","Other (Please Specify) - Edu Material"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Educational Materials","Other (Please Specify) - Edu Material"
"Global","840.00","840.00","433.00","407.00","1488.00","78.52","","","2020","Other","Other (Please Specify)"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Other","Other (Please Specify)"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Other","Other (Please Specify)"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Other","Other (Please Specify)"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Other","Other (Please Specify)"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Other","Other (Please Specify)"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Other","Other (Please Specify)"
"Global","100038.00","100038.00","74050.00","25988.00","168424.00","86.63","","","2020","Payroll","Direct Program / Project Staff Salaries"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Payroll","Direct Program / Project Staff Salaries"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Payroll","Direct Program / Project Staff Salaries"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Payroll","Direct Program / Project Staff Salaries"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Payroll","Direct Program / Project Staff Salaries"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Payroll","Direct Program / Project Staff Salaries"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Payroll","Direct Program / Project Staff Salaries"
"Global","16237.00","16237.00","10259.00","5978.00","24041.00","80.09","","","2020","Program Delivery","Indirect Operational Costs"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Program Delivery","Indirect Operational Costs"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Program Delivery","Indirect Operational Costs"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Program Delivery","Indirect Operational Costs"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Program Delivery","Indirect Operational Costs"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Program Delivery","Indirect Operational Costs"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Program Delivery","Indirect Operational Costs"
"Global","3992.00","3992.00","3897.00","95.00","8279.00","98.87","","","2020","Program Delivery","PMO / Oversight Costs"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Program Delivery","PMO / Oversight Costs"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Program Delivery","PMO / Oversight Costs"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Program Delivery","PMO / Oversight Costs"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Program Delivery","PMO / Oversight Costs"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Program Delivery","PMO / Oversight Costs"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Program Delivery","PMO / Oversight Costs"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Digital technology(analytics, mobile, social, cloud, robotics, AI, IoT)"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Digital technology(analytics, mobile, social, cloud, robotics, AI, IoT)"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Digital technology(analytics, mobile, social, cloud, robotics, AI, IoT)"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Digital technology(analytics, mobile, social, cloud, robotics, AI, IoT)"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Digital technology(analytics, mobile, social, cloud, robotics, AI, IoT)"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Digital technology(analytics, mobile, social, cloud, robotics, AI, IoT)"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Digital technology(analytics, mobile, social, cloud, robotics, AI, IoT)"
"Global","1400.00","1400.00","1400.00","0.00","1400.00","100.00","","","2020","Technology","Hardware/Software"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Hardware/Software"
