"Country","Original Budget","Available Budget","Actual Expenditures","Carryover Budget","Expenditures to Date","Percentage Used","Comments","Comments","Year","Parent Category","Category"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Hardware/Software"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Hardware/Software"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Hardware/Software"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Hardware/Software"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Hardware/Software"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","LMS and Other Digital Learning Tools/Devices"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","LMS and Other Digital Learning Tools/Devices"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","LMS and Other Digital Learning Tools/Devices"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","LMS and Other Digital Learning Tools/Devices"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","LMS and Other Digital Learning Tools/Devices"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","LMS and Other Digital Learning Tools/Devices"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","LMS and Other Digital Learning Tools/Devices"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Other (Please Specify) - Technology"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Other (Please Specify) - Technology"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Other (Please Specify) - Technology"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Other (Please Specify) - Technology"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Other (Please Specify) - Technology"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Other (Please Specify) - Technology"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Other (Please Specify) - Technology"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Telecom"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Telecom"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Telecom"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Telecom"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Telecom"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Telecom"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Technology","Telecom"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Implementation Partners"
"Morocco","189167.00","189167.00","189167.00","0.00","355834.00","100.00","","","2020","Third Party Services","Implementation Partners"
"Saudi Arabia","72500.00","72500.00","72500.00","0.00","152500.00","100.00","","","2020","Third Party Services","Implementation Partners"
"Spain","551966.00","551966.00","556802.00","-4836.00","1259325.00","100.39","","","2020","Third Party Services","Implementation Partners"
"Portugal","107250.00","107250.00","107250.00","0.00","107250.00","100.00","","","2020","Third Party Services","Implementation Partners"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Implementation Partners"
"United Arab Emirates","72500.00","72500.00","72500.00","0.00","152500.00","100.00","","","2020","Third Party Services","Implementation Partners"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Other (Please Specify) - Third Party"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Other (Please Specify) - Third Party"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Other (Please Specify) - Third Party"
"Spain","28091.00","28091.00","13825.00","14266.00","30570.00","68.18","","","2020","Third Party Services","Other (Please Specify) - Third Party"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Other (Please Specify) - Third Party"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Other (Please Specify) - Third Party"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Other (Please Specify) - Third Party"
"Global","14851.00","14851.00","5712.00","9139.00","8972.00","49.54","","","2020","Third Party Services","Vendors"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Vendors"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Vendors"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Vendors"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Vendors"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Vendors"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Third Party Services","Vendors"
"Global","13190.00","13190.00","0.00","13190.00","11779.00","47.17","","","2020","Travel","Global Travel"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Global Travel"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Global Travel"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Global Travel"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Global Travel"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Global Travel"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Global Travel"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Local Travel"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Local Travel"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Local Travel"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Local Travel"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Local Travel"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Local Travel"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Local Travel"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Regional Travel"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Regional Travel"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Regional Travel"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Regional Travel"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Regional Travel"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Regional Travel"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2020","Travel","Regional Travel"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Content Delivery"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Content Delivery"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Content Delivery"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Content Delivery"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Content Delivery"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Content Delivery"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Content Delivery"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Content Development"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Content Development"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Content Development"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Content Development"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Content Development"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Content Development"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Content Development"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Other (Please Specify) - Edu Material"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Other (Please Specify) - Edu Material"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Other (Please Specify) - Edu Material"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Other (Please Specify) - Edu Material"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Other (Please Specify) - Edu Material"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Other (Please Specify) - Edu Material"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Educational Materials","Other (Please Specify) - Edu Material"
"Global","840.00","1247.00","0.00","1247.00","1488.00","54.41","","","2021","Other","Other (Please Specify)"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Other","Other (Please Specify)"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Other","Other (Please Specify)"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Other","Other (Please Specify)"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Other","Other (Please Specify)"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Other","Other (Please Specify)"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Other","Other (Please Specify)"
"Global","159230.00","185218.00","0.00","185218.00","168424.00","47.63","","","2021","Payroll","Direct Program / Project Staff Salaries"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Payroll","Direct Program / Project Staff Salaries"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Payroll","Direct Program / Project Staff Salaries"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Payroll","Direct Program / Project Staff Salaries"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Payroll","Direct Program / Project Staff Salaries"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Payroll","Direct Program / Project Staff Salaries"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Payroll","Direct Program / Project Staff Salaries"
"Global","17335.00","23313.00","0.00","23313.00","24041.00","50.77","","","2021","Program Delivery","Indirect Operational Costs"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Program Delivery","Indirect Operational Costs"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Program Delivery","Indirect Operational Costs"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Program Delivery","Indirect Operational Costs"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Program Delivery","Indirect Operational Costs"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Program Delivery","Indirect Operational Costs"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Program Delivery","Indirect Operational Costs"
"Global","3874.00","3969.00","0.00","3969.00","8279.00","67.59","","","2021","Program Delivery","PMO / Oversight Costs"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Program Delivery","PMO / Oversight Costs"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Program Delivery","PMO / Oversight Costs"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Program Delivery","PMO / Oversight Costs"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Program Delivery","PMO / Oversight Costs"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Program Delivery","PMO / Oversight Costs"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Program Delivery","PMO / Oversight Costs"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Digital technology(analytics, mobile, social, cloud, robotics, AI, IoT)"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Digital technology(analytics, mobile, social, cloud, robotics, AI, IoT)"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Digital technology(analytics, mobile, social, cloud, robotics, AI, IoT)"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Digital technology(analytics, mobile, social, cloud, robotics, AI, IoT)"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Digital technology(analytics, mobile, social, cloud, robotics, AI, IoT)"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Digital technology(analytics, mobile, social, cloud, robotics, AI, IoT)"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Digital technology(analytics, mobile, social, cloud, robotics, AI, IoT)"
"Global","0.00","0.00","0.00","0.00","1400.00","0.00","","","2021","Technology","Hardware/Software"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Hardware/Software"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Hardware/Software"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Hardware/Software"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Hardware/Software"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Hardware/Software"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Hardware/Software"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","LMS and Other Digital Learning Tools/Devices"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","LMS and Other Digital Learning Tools/Devices"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","LMS and Other Digital Learning Tools/Devices"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","LMS and Other Digital Learning Tools/Devices"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","LMS and Other Digital Learning Tools/Devices"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","LMS and Other Digital Learning Tools/Devices"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","LMS and Other Digital Learning Tools/Devices"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Other (Please Specify) - Technology"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Other (Please Specify) - Technology"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Other (Please Specify) - Technology"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Other (Please Specify) - Technology"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Other (Please Specify) - Technology"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Other (Please Specify) - Technology"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Other (Please Specify) - Technology"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Telecom"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Telecom"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Telecom"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Telecom"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Telecom"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Telecom"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Technology","Telecom"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Third Party Services","Implementation Partners"
"Morocco","186666.00","186666.00","0.00","186666.00","355834.00","65.59","","","2021","Third Party Services","Implementation Partners"
"Saudi Arabia","72500.00","72500.00","0.00","72500.00","152500.00","67.78","","","2021","Third Party Services","Implementation Partners"
"Spain","2233175.00","2228339.00","0.00","2228339.00","1259325.00","36.11","","","2021","Third Party Services","Implementation Partners"
"Portugal","222750.00","222750.00","0.00","222750.00","107250.00","32.50","","","2021","Third Party Services","Implementation Partners"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Third Party Services","Implementation Partners"
"United Arab Emirates","72500.00","72500.00","0.00","72500.00","152500.00","67.78","","","2021","Third Party Services","Implementation Partners"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Third Party Services","Other (Please Specify) - Third Party"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Third Party Services","Other (Please Specify) - Third Party"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Third Party Services","Other (Please Specify) - Third Party"
"Spain","10000.00","24266.00","0.00","24266.00","30570.00","55.75","","","2021","Third Party Services","Other (Please Specify) - Third Party"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Third Party Services","Other (Please Specify) - Third Party"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Third Party Services","Other (Please Specify) - Third Party"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Third Party Services","Other (Please Specify) - Third Party"
"Global","16411.00","25550.00","0.00","25550.00","8972.00","25.99","","","2021","Third Party Services","Vendors"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Third Party Services","Vendors"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Third Party Services","Vendors"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Third Party Services","Vendors"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Third Party Services","Vendors"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Third Party Services","Vendors"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Third Party Services","Vendors"
"Global","8130.00","21320.00","0.00","21320.00","11779.00","35.59","","","2021","Travel","Global Travel"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Travel","Global Travel"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Travel","Global Travel"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Travel","Global Travel"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Travel","Global Travel"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Travel","Global Travel"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Travel","Global Travel"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Travel","Local Travel"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Travel","Local Travel"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Travel","Local Travel"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Travel","Local Travel"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Travel","Local Travel"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Travel","Local Travel"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Travel","Local Travel"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Travel","Regional Travel"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Travel","Regional Travel"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Travel","Regional Travel"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Travel","Regional Travel"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Travel","Regional Travel"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Travel","Regional Travel"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2021","Travel","Regional Travel"
